barcode,dateaccessioned,title,editionstatement,author,Subject,Callnumber,Shelving_location,itemtype,price
224DB1442,26/10/2015,THEORY OF COMPUTER SCIENCE,,KULKARNI VIVEK,COMPUTER,004/KUL,,DB,1
224DB1443,26/10/2015,THEORY OF COMPUTER SCIENCE,,KULKARNI VIVEK,COMPUTER,004/KUL,,DB,1
224DB1444,26/10/2015,THEORY OF COMPUTER SCIENCE,,KULKARNI VIVEK,COMPUTER,004/KUL,,DB,1
224DB1445,26/10/2015,DESIGN OF THE UNIX OPERATING SYSTEMS,,BACH J MAURICE,IT,005.4469/BAC,,DB,
224DB1446,26/10/2015,DESIGN OF THE UNIX OPERATING SYSTEMS,,BACH J MAURICE,IT,005.4469/BAC,,DB,
224DB1447,26/10/2015,DESIGN OF THE UNIX OPERATING SYSTEMS,,BACH J MAURICE,IT,005.4469/BAC,,DB,
224DB1448,26/10/2015,DESIGN OF THE UNIX OPERATING SYSTEMS,,BACH J MAURICE,IT,005.4469/BAC,,DB,
224DB1449,26/10/2015,DESIGN OF THE UNIX OPERATING SYSTEMS,,BACH J MAURICE,IT,005.4469/BAC,,DB,
224DB1450,26/10/2015,DESIGN OF THE UNIX OPERATING SYSTEMS,,BACH J MAURICE,IT,005.4469/BAC,,DB,
224DB1451,15/11/2015,TEST YOUR C++ SKILLS,,KANETKAR P YASHAVANT,COMPUTER,005.133C++/KAN,,DB,1
224DB1452,15/11/2015,DESIGN OF THE UNIX OPERATING SYSTEM,,BACH J MAURICE,COMPUTER,005.4469/BAC,,DB,1
224DB1453,15/11/2015,DESIGN OF THE UNIX OPERATING SYSTEM,,BACH J MAURICE,COMPUTER,005.4469/BAC,,DB,1
224DB1454,15/11/2015,DESIGN OF THE UNIX OPERATING SYSTEM,,BACH J MAURICE,COMPUTER,005.4469/BAC,,DB,1
224DB1455,15/11/2015,DESIGN OF THE UNIX OPERATING SYSTEM,,BACH J MAURICE,COMPUTER,005.4469/BAC,,DB,1
224DB1456,15/11/2015,DESIGN OF THE UNIX OPERATING SYSTEM,,BACH J MAURICE,COMPUTER,005.4469/BAC,,DB,1
224DB1457,15/11/2015,QUANTITATIVE APTITUDE,,AGGARWAL S R,E &amp; TC,371.26/AGG,,DB,1
