barcode,dateaccessioned,title,editionstatement,author,Subject,Callnumber,Shelving_location,itemtype,price
224DB1590,24/10/2016,ELEMENTS OF ELECTROMAGNETIC FIELDS,4,SETH P S,E &amp; TC,621.3/SET,,DB,1
224DB1591,24/10/2016,ELECTRICAL CIRCUITS,7,BELL A DAVID,E &amp; TC,621.3192/BEL,,DB,1
224DB1592,12/12/2016,LET US C,13,KANETKAR YASHWANT,IT,005.133C/KAN,,DB,1
224DB1593,12/12/2016,MODERN DIGITAL ELECTRONICS,4,JAIN R P,E &amp; TC,621.395/JAI,,DB,1
224DB1594,16/12/2016,ENGINEERING PHYSICS,8,GAUR R. K,IT,530/GAU/GUP,,DB,1
224DB1595,16/12/2016,PATH,,JAGATAP RAJIV,IT,800/JAG,,DB,1
224DB1596,16/12/2016,TARGET 3 BILLION,,KALAM A P J ABDUAL,IT,800/KAL,,DB,1
224DB1597,16/12/2016,HELLO ANDROID:,3,BURNETTE ED,IT,621.3845/BUR,,DB,1
224DB1598,16/12/2016,JAVA: THE COMPLETE REFERENCE J2SE,5,SCHILDT HERBERT,IT,005.133J/SCH,,DB,1
224DB1599,16/12/2016,DESIGN OF THE UNIX OPERATING SYSTEMS,,BACH MOURICE ,IT,005.4469/BAC,,DB,1
224DB1600,16/12/2016,QUANTITATIVE APTITUDE,15,AGGARWAL R S,IT,371.26/AGG,,DB,1
224DB1601,28/12/2016,SATELLITE COMMUNICATIONS,2,PRATT TIMOTHY,E &amp; TC,621.3825/PRA,,DB,1
224DB1602,16/02/2017,BRAMHAND AANI ISHWAR,,DHANDE A P,E &amp; TC,800/DHA,,DB,1
224DB1603,07/03/2017,KARYALAIN DEHBOLI,,PEASE ALLAN,IT,800/PEA,,DB,
224DB1604,07/03/2017,JAGANYACHI KALA,4,HART WILLIAM,IT,800/HAR,,DB,
224DB1605,04/05/2017,OFFICIAL GUIDE FOR GMAT REVIEW 2017,,GRADUATE MANAGAMENT ADMISSION COUNCIL,IT,371.26/GRA,,DB,
224DB1606,09/05/2017,MICROWAVE ENGINEERING PASSIVE CIRCUITS,,RIZZI PETER A,ME-E&amp;TC,621.3813/RIZ,,DB,1
224DB1607,09/05/2017,MICROWAVE ENGINEERING PASSIVE CIRCUITS,,RIZZI PETER A,ME-E&amp;TC,621.3813/RIZ,,DB,1
224DB1608,09/05/2017,MICROWAVE ENGINEERING PASSIVE CIRCUITS,,RIZZI PETER A,ME-E&amp;TC,621.3813/RIZ,,DB,1
224DB1609,09/05/2017,MICROWAVE ENGINEERING PASSIVE CIRCUITS,,RIZZI PETER A,ME-E&amp;TC,621.3813/RIZ,,DB,1
224DB1610,09/05/2017,MICROWAVE ENGINEERING PASSIVE CIRCUITS,,RIZZI PETER A,ME-E&amp;TC,621.3813/RIZ,,DB,1
224DB1611,09/05/2017,MICROWAVE ENGINEERING PASSIVE CIRCUITS,,RIZZI PETER A,ME-E&amp;TC,621.3813/RIZ,,DB,1
224DB1612,09/05/2017,MICROWAVE ENGINEERING PASSIVE CIRCUITS,,RIZZI PETER A,ME-E&amp;TC,621.3813/RIZ,,DB,1
224DB1613,09/05/2017,MICROWAVE ENGINEERING PASSIVE CIRCUITS,,RIZZI PETER A,ME-E&amp;TC,621.3813/RIZ,,DB,1
224DB1614,09/05/2017,UNDERSTANDING POINTERS IN C,4,KANETKAR YASHVANT P,IT,005.133C/KAN,,DB,1
224DB1615,09/05/2017,LET US C,14,KANETKAR YASHWANT P,IT,005.133C/KAN,,DB,1
224DB1616,09/05/2017,TEXT BOOK OF ENGINEERING CHEMISTRY,25,DARA S S,IT,540/DAR,,DB,1
224DB1617,09/05/2017,UNIVERSITY CHEMISTRY,4,MAHAN BRUCE M,IT,540/MAH,,DB,1
224DB1618,09/05/2017,TEXT BOOK OF ENGINEERING CHEMISTRY,3,CHAWLA SHASHI,IT,540/CHA,,DB,1
224DB1619,09/05/2017,ENGINEERING CHEMISTRY,,PALANNA O G,IT,540/PAL,,DB,1
224DB1620,09/05/2017,TERNARY DIGITAL SYSTEM,,DHANDE A P,E &amp; TC,513.55/DHA,,DB,1
224DB1621,09/05/2017,ANALOGY BETWEEN TWO CREATIONS,,DHANDE A P,E &amp; TC,800/DHA,,DB,1
224DB1622,09/05/2017,MAZA JEEVAN PRAVAS,,DHANDE A P,E &amp; TC,800/DHA,,DB,1
224DB1623,06/06/2017,POLARISING JOURNEY TO POLES,,KAKATKAR RAJASHREE,IT,800/KAK,,DB,1
224DB1624,21/06/2017,"KARMA KARRY FOR THE MIND, BODY HEART AND SOUL",,ALMEIDA JERONINIO JERRY,IT,800/ALM,,DB,1
224DB1625,21/06/2017,25 MAGNIFICENT INDIANS OF THE 20 TH CENTURY,,LAL S,IT,800/LAL,,DB,
224DB1626,21/06/2017,PROGRAMMING WITH JAVA,3,BALAGRUSAMY E,IT,005.133J/BAL,,DB,1
224DB1627,21/06/2017,LEARN OBJECT ORINTED PROGRAMMING USING JAVA,,VENKATESWARLU N B,IT,005.12/VEN,,DB,1
224DB1628,21/06/2017,UNIX SHELL PROGRAMMING,,HARWANI B M,IT,005.4469/HAR,,DB,1
224DB1629,21/06/2017,PROGRAMMING IN JAVA,2,MALHOTRA SACHIN,IT,005.133J/MAL,,DB,1
224DB1630,21/06/2017,HIGH PERFORMANCE COMMUNICATION NETWORKS,2,WARLAND JEAN,IT,621.382/WAR,,DB,1
224DB1631,26/06/2017,JAVA SCRIPT IN 24 HOURS,,MONCUR MICHAEL,IT,005.133J/MON,,DB,1
224DB1632,26/06/2017,DATABASE SYSTEM CONCEPTS,6,SILBERSCHATS ABRAHAM,IT,005.74/SIL,,DB,1
224DB1633,26/06/2017,GOSPEL OF SRI RAMAKRISHNA,,NIKHILANANDA SWAMI,IT,800/NIK,,DB,1
224DB1634,26/06/2017,UBIQUITOUS COMPUTING,1,POSLAD  STEFAN,COMPUTER,004/POS,,DB,
224DB1635,26/06/2017,COMPUTER GRAPHICS,2,FOLEY JAMES D,COMPUTER,006.6/FOL,,DB,1
224DB1636,26/06/2017,DATA AND COMPUTER COMMUNICATIONS,9,STALLING WILLIAM,COMPUTER,004.65/STA,,DB,1
224DB1637,29/06/2017,ENTERPRISE ANALYTICS,,DAVENPORT THOMAS,COMPUTER,658.4038/DAV,,DB,1
224DB1638,29/06/2017,FOUNDATIONS OF MODERN NETWORKING,,STALLING WILLIAM,COMPUTER,004.6/STA,,DB,1
224DB1639,29/06/2017,SWIFT TRANSLATION GUIDE FOR OBJECTIVE C DEVELOPERS,,KELLY MAURICE,COMPUTER,005.133/KEL,,DB,1
224DB1640,29/06/2017,MYSQL,5,DUBIS PAUL,COMPUTER,005.74/DUB,,DB,1
224DB1641,29/06/2017,RED HAT RHCSA/RHCE7 CERT GUIDE,,VUGT SANDER VAN,COMPUTER,005.4468/VUG,,DB,1
224DB1642,29/06/2017,PRACTICAL GUIDE TO FEDORA AND RED HAT ENTERPRISE LINUX,6,SOBELL MARK G,COMPUTER,005.4468/SOB,,DB,1
224DB1643,05/10/2017,LET US C,14,KANETKAR YASHWANT,IT,005.133C/KAN,,DB,1
224DB1644,05/10/2017,DIGITAL COMMUNICATIONS,1,SKLAR  BERNARD,ME-COMP,621.382/SKL,,DB,1185.92
224DB1645,05/10/2017,DATA COMMUNICATIONS AND NETWORKING,4,FOROUZAN BEHROUZ,E &amp; TC,004.65/FOR,,DB,1
224DB1646,05/10/2017,ENGINEERING ELECTROMAGNETICS,7,HAYT WILLIAM H,E &amp; TC,621.3/HAY,,DB,1
224DB1647,05/10/2017,TELECOMMUNICATION SWITCHING SYSTEMS AND NETWORKS,,VISWANATHAN THIOGARAJAN,E &amp; TC,621.38216/VIS,,DB,1
224DB1648,05/10/2017,MICROWAVE ENGINEERING,2,DAS ANNAPURNA,E &amp; TC,621.3813/DAS,,DB,1
224DB1649,05/10/2017,CONTROL SYSTEM ENGINEERING,4,NISE NORMAN E,E &amp; TC,629.8/NIS,,DB,1
224DB1650,05/10/2017,DIGITAL SIGNAL PROCESSING,4,PROAKIS JOHN G,E &amp; TC,621.3822/PRO,,DB,1
224DB1651,05/10/2017,POWER ELECTRONICS,2,SINGH M D,E &amp; TC,621.317/SIN,,DB,1
224DB1652,05/10/2017,OPTICAL FIBER COMMUNICATIONS,3,SENIOR JOHN M,E &amp; TC,621.3692/SEN,,DB,1
224DB1653,05/10/2017,ARTIFICIAL NEURAL NETWORKS,,YEGNANARAYANA B,E &amp; TC,006.32/YEG,,DB,1
224DB1654,05/10/2017,MICROWAVE ENGINEERING,3,POZAR DAVID M,E &amp; TC,621.3813/POZ,,DB,1
224DB1655,05/10/2017,WIRELESS COMMUNICATIONS,2,RAPPAPORT THEODERE,E &amp; TC,621.382/RAP,,DB,1
224DB1656,06/10/2017,CLOUD SECURITY,,KRUTZ RONALD,COMPUTER,005.82/KRU,,DB,1
224DB1657,06/10/2017,ANTENNA THEORY,3,BALANIS CONSTANTINE A,E &amp; TC,621.3824/BAL,,DB,1
224DB1658,06/10/2017,INTEGRATED ELECTRONICS,2,MILLMAN JACOB,E &amp; TC,621.3815/MIL,,DB,1
224DB1659,01/11/2017,VLSI TEST PRINCIPLES AND ARCHITECTURES,,WANG LAUNG,E &amp; TC,621.38173/WAN,,DB,1
224DB1660,01/11/2017,WIRELESS SENSOR NETWORKS,,ZHAO FENG,E &amp; TC,681.2/ZHA,,DB,1
224DB1661,01/11/2017,INTRODUCTION TO PARALLEL PROGRAMMING,,PACHECO XAVIER PETER S,E &amp; TC,004.35/PAC,,DB,1
224DB1662,01/11/2017,COMPUTER AS COMPONENTS,2,WOLF WAYNE,E &amp; TC,004.16/WOL,,DB,1
224DB1663,01/11/2017,COMPUTER AS COMPONENTS,2,WOLF WAYNE,E &amp; TC,004.16/WOL,,DB,1
224DB1664,01/11/2017,COMPUTER NETWORKS,4,PETERSON LARRY L,E &amp; TC,004.6/PET,,DB,1
224DB1665,01/11/2017,COMPUTER NETWORKS,4,PETERSON LARRY L,E &amp; TC,004.6/PET,,DB,1
224DB1666,01/11/2017,ELECTRONIC COMMUNICATION SYSTEMS,2,BLAKE ROY,E &amp; TC,621.382/BLA,,DB,1
224DB1667,01/11/2017,WIRELESS COMMUNICATION TECHNOLOGY,,BLAKE ROY,E &amp; TC,621.381/BLA,,DB,1
224DB1668,01/11/2017,WIRELESS COMMUNICATIONS,,OLENEWA JORGE,E &amp; TC,621.382/OLE,,DB,1
224DB1669,02/11/2017,INTRODUCTION TO WIRELESS TELECOMMUNICATIONS SYSTEM AND NETWORKS,,MULLETT GARY J,E &amp; TC,621.384/MUL,,DB,1
224DB1670,02/11/2017,INTRODUCTION TO WIRELESS TELECOMMUNICATIONS SYSTEM AND NETWORKS,,MULLETT GARY J,E &amp; TC,621.384/MUL,,DB,1
224DB1671,02/11/2017,OPERATING SYSTEMS,,STUART BRIAN L,E &amp; TC,005.43/STU,,DB,1
224DB1672,02/11/2017,OPERATING SYSTEMS,,STUART BRIAN L,E &amp; TC,005.43/STU,,DB,1
224DB1673,08/11/2017,ELECTRONIC DEVICES AND CIRCUITS,,DESHPANDE N P,E &amp; TC,621.3815/DES,,DB,1
224DB1674,08/11/2017,PRINCIPLES OF COMPILER DESIGN,,RAGHAVAN V,E &amp; TC,005.453/RAG,,DB,1
224DB1675,08/11/2017,DIGITAL SIGNAL PROCESSING,,SALIVAHANAN S,E &amp; TC,621.3822/SAL,,DB,1
224DB1676,08/11/2017,INTRODUCTION TO EMBEDDED SYSTEMS,,SHIBU K V,E &amp; TC,004.22/SHI,,DB,1
224DB1677,08/11/2017,FUNDAMENTALS OF WIRELESS COMMUNICATION,,TSE DAVID,E &amp; TC,621.382/TSE,,DB,1
224DB1678,08/11/2017,MOBILE WIRELESS COMMUNICATIONS,,SCHWARTZ MISCHA,E &amp; TC,621.3845/SCH,,DB,1
224DB1679,08/11/2017,MOBILE COMPUTING PRINCIPLES,,BFAR REZA,E &amp; TC,005.268/BFA,,DB,1
224DB1680,08/11/2017,WIRELESS COMMUNICATIONS,,GOLDSMITH ANDREA,E &amp; TC,621.382/GOL,,DB,1
224DB1681,08/11/2017,WIRELESS COMMUNICATION SYSTEMS,,DU KE-LIN,E &amp; TC,621.382/DU,,DB,1
224DB1682,08/11/2017,PASSIVE RF AND MICROWAVE INTEGRATED CIRCUITS,,MALORATSKY LEO G,E &amp; TC,621.38132/MAL,,DB,1
224DB1683,08/11/2017,MSP430 MICROCONTROLLER BASICS,,DAVIES JOHN H,E &amp; TC,621.3916/DAV,,DB,1
224DB1684,08/11/2017,MOBILE COMPUTING,,PRABHU C S R,E &amp; TC,004.6/PRA,,DB,1
224DB1685,08/11/2017,ELECTRONICS DEVICES AND CIRCUITS,,PALANISAMY P K,E &amp; TC,621.3815/PAL,,DB,1
224DB1686,08/11/2017,ANTENNAS AND WAVE PROPAGATION,,SUBBAIAH P V,E &amp; TC,621.38411/SUB,,DB,1
224DB1687,09/11/2017,COMPUTER SYSTEM DESIGN AND ARCHITECTURE,,HEURING VINCENT P,COMPUTER,004.22/HEU,,DB,1
224DB1688,09/11/2017,COMPUTER SYSTEMS ORGANIZATION AND ARCHICTURE,,CARPINELLI JOHN D,COMPUTER,004.22/CAR,,DB,1
224DB1689,09/11/2017,ESSENTIAL GUIDE TO TELECOMMUNICATIONS,4,DOBB ANNABEL Z,E &amp; TC,621.382/DOB,,DB,1
224DB1690,09/11/2017,SIMULATING WIRELESS COMMUNICATION SYSTEMS,,RORABAUGH C BRITION,E &amp; TC,621.3840/ROR,,DB,1
224DB1691,09/11/2017,MICROCONTROLLERS,2,KAMAL RAJ,E &amp; TC,629.895/KAM,,DB,1
224DB1692,09/11/2017,RADIO PROPAGATION FOR MODERN WIRELESS SYSTEMS,,BERTONI HENRY L,E &amp; TC,621.384/BER,,DB,1
224DB1693,11/11/2017,INTRODUCTION TO WIRELESS SYSTEMS,,BLACK BRUCE A,E &amp; TC,621.384/BLA,,DB,1
224DB1694,11/11/2017,ANTENNAS AND PROPAGATION FOR WIRELESS COMMUNICATION SYSTEMS,2,SAUNDERS SIMAN R,E &amp; TC,621.3824/SAU,,DB,1
224DB1695,11/11/2017,HANDBOOK OF WIRELESS NETWORKS AND MOBILE COMPUTING,,STOJMENOVIC IVAN,E &amp; TC,621.382/STO,,DB,1
224DB1696,11/11/2017,HANDBOOK OF WIRELESS NETWORKS AND MOBILE COMPUTING,,STOJMENOVIC IVAN,E &amp; TC,621.382/STO,,DB,1
224DB1697,11/11/2017,ENGINEERING ELECTROMAGNETICS,,SHEN LIANG CHI,E &amp; TC,621.3/SHE,,DB,1
224DB1698,11/11/2017,ENGINEERING ELECTROMAGNETICS,,SHEN LIANG CHI,E &amp; TC,621.3/SHE,,DB,1
224DB1699,11/11/2017,EMBEDDED SYSTEMS ARCHITECTURE,,NOERGAARD TAMMY,COMPUTER,004.22/NOE,,DB,1
224DB1700,11/11/2017,EMBEDDED SYSTEMS ARCHITECTURE,,NOERGAARD TAMMY,COMPUTER,004.22/NOE,,DB,1
224DB1701,11/11/2017,MULTICAST COMMUNICATION,,WITTMANN RALPH,E &amp; TC,006.6/WIT,,DB,1
224DB1702,11/11/2017,WIRELESS NETWORKING,,KUMAR ANURAG,E &amp; TC,621.3981/KUM,,DB,1
224DB1703,11/11/2017,HIGH PERFORMANCE COMMUNICATION NETWORKS,2,WALRAND JEAN,E &amp; TC,621.382/WAL,,DB,1
224DB1704,11/11/2017,COMPUTER ARCHITECTURE,4,HENNESSY JOHN L,COMPUTER,004.22/HEN,,DB,1
224DB1705,11/11/2017,DATABASE,2,O'NEIL PATRICK,COMPUTER,005.74/O'N,,DB,1
224DB1706,11/11/2017,SMART PHONE NEXT GENERATION MOBILE COMPUTING,,ZHENG PEI,COMPUTER,004.6/ZHE,,DB,1
224DB1707,23/11/2017,ENGINEERING DRAWING,50,BHATT N D,COMPUTER,604.2/BHA/PAN,,DB,1
224DB1708,23/11/2017,CRYPTOGRAPHY AND NETWORK SECURITY :,2,KAHATE ATUL,COMPUTER,005.8/KAH,,DB,1
224DB1709,30/12/2017,FIBRE OPTIC COMMUNICATION,,RAGHUWANSHI SANJEEV KUMAR,E &amp; TC,621.3692/RAG/KUM,,DB,1
224DB1710,17/01/2018,"HOW TO WRITE PROJECT REPORT'S , Ph.D THESIS AND RESEARCH ARTICLES",,KUMBHAR RAJENDRA,,001.42/KUM,,DB,1
224DB1711,17/01/2018,MANORAMA YEAR BOK 2017,,MATHEW MAMMEN,,800/MAT,,DB,1
224DB1712,10/03/2018,FULPAKHARU,,KADAMWAR NARAYAN,COMPUTER,800/KAD,,DB,1
224DB1713,10/03/2018,FULPAKHARU,,KADAMWAR NARAYAN,COMPUTER,800/KAD,,DB,1
224DB1714,10/03/2018,SAD VIJAYACHEE KAVYASANGRAHA,,KADAMWAR-PATIL NARAYAN RMANNA,COMPUTER,800/KAD,,DB,1
224DB1715,10/03/2018,SAD VIJAYACHEE KAVYASANGRAHA,,KADAMWAR-PATIL NARAYAN RMANNA,COMPUTER,800/KAD,,DB,1
224DB1716,10/03/2018,SAD VIJAYACHEE KAVYASANGRAHA,,KADAMWAR-PATIL NARAYAN RMANNA,COMPUTER,800/KAD,,DB,1
224DB1717,06/04/2018,THINK AND WIN LIKE DHONI,,SAHARE STURTI,IT,800/SAH,,DB,1
224DB1718,06/04/2018,COMPUTER NETWORKING,5,KUROSE JAMES F,IT,005.1/KUR,,DB,1
224DB1719,11/04/2018,CIRCUITS AND NETWORKS,4,SUDHAKAR A,E &amp; TC,621.3192/SUD/PAL,,DB,1
224DB1720,23/05/2018,ANTENNA THEORY,1,BALANIS  CONSTANTINE A,COMPUTER,621.3824 / BAL,,DB,80.75
224DB1721,23/05/2018,INTEGRATED ELECTRONICS,2,MILLMAN JACOB,E &amp; TC,621.3815/MIL,,DB,1
224DB1722,23/05/2018,MODERN DIGITAL AND ANALOG COMMUNICATION SYSTEMS,4,LATHI B P,E &amp; TC,621.382/LAT,,DB,1
224DB1723,23/05/2018,MODERN DIGITAL ELECTRONICS,4,JAIN R P,E &amp; TC,621.395/JAI,,DB,1
224DB1724,23/05/2018,OP-AMPS AND LINEAR INTEGRATED CIRCUITS,4,GAYAKWAD RAMAKANT A,E &amp; TC,621.395/GAY,,DB,1
224DB1725,23/05/2018,INFORMATION THEORY CODING AND CRYPTOGRAPHY,2,BOSE RANJAN,E &amp; TC,003.54/BOS,,DB,1
224DB1726,23/05/2018,DATA COMMUNICATIONS AND NETWORKING,5,FOROUZAN BEHROUZ A,E &amp; TC,004.65/FOR,,DB,1
224DB1727,23/05/2018,SIGNALS AND SYSTEMS,2,HAYKIN SIMON,E &amp; TC,621.3822/HAY,,DB,1
224DB1728,23/05/2018,"NETWORKS,LINES AND FIELDS",2,RYDER JOHN D,E &amp; TC,621.38215/RYD,,DB,1
224DB1729,09/06/2018,BIG DATA ANALYTICS,,KULKARNI PARAG,COMPUTER,005.7/KUL,,DB,
224DB1730,04/07/2018,A I TYPHOON,,MUKHI VIJAY,IT,005.133 MUK,,DB,
224DB1731,04/07/2018,A I TYPHOON,,MUKHI VIJAY,IT,005.133 MUK,,DB,
224DB1732,04/07/2018,OPERATIONAL AMPLIFIERES,5,CLAYTON GEORGE,E &amp; TC,621.395/CLA,,DB,
224DB1733,04/07/2018,FUNDAMENTALS OF DATA STRUCTURES IN C++,2,HOROWITZ  ELLIS,IT,005.73/HOR/SAH,,DB,90.2
224DB1734,04/07/2018,LET US C,13,KANETKAR YASHWANT P,IT,005.133C/KAN,,DB,
224DB1735,17/07/2018,GATE - 18 COMPUTER SCIENCE AND INFORAMTION TECHNOLOGY,,ACE ENGG. PUB ,IT,371.26/ACE,,DB,
224DB1736,04/07/2018,GATE PRACTICE BOOKLET,,ACE ENGG. PUB ,IT,371.26/ACE,,DB,
224DB1737,04/07/2018,MISSING THE BUS,,KAJALE NEELESH M,COMPUTER,800/KAJ,,DB,
224DB1738,19/07/2018,DIGITAL ELECTRONICS,2,GHOSHAL  SUBRATA,E &amp; TC,621.395/GHO,,DB,
224DB1739,19/07/2018,SYSTEM SOFTWARE AND COMPILER DESIGN,,PRASAD K S,E &amp; TC,005.42/PRA,,DB,
224DB1740,19/07/2018,ANALOG AND DIGITAL COMMUNICATIONS,,GANDHI ABHAY,E &amp; TC,621.382/GAN,,DB,
224DB1741,19/07/2018,ENGINEERING ELECTROMAGNETICS,,RAO D GANESH,E &amp; TC,621.3/RAO,,DB,
224DB1742,19/07/2018,DIGITAL COMMUNICATIONS,,BHAT K N HARI,E &amp; TC,621.382/BHA,,DB,
224DB1743,19/07/2018,MICROWAVE ENGINEERING,,RAGHUVANSHI G S,E &amp; TC,621.3813/RAG,,DB,
224DB1744,19/07/2018,ELECTRICAL MACHINES,2,ZORBAS DIN,E &amp; TC,621.31/ZOR,,DB,
224DB1745,19/07/2018,CONCRETE TECHNOLOGY,,THOMAS JOB,E &amp; TC,/THO,,DB,
224DB1746,19/07/2018,HEAT AND MASS TRANSFER,2,ROLLE KURT C,E &amp; TC,621.4022/ROL,,DB,
224DB1747,19/07/2018,ENGINEERING ETHICS,4,HARRIS CHARLES E,IT,174.962/HAR,,DB,
224DB1748,19/07/2018,ETHICS IN INFORMATION TECHNOLOGY,4,REYNOLDS GEORGE W,IT,174/REY,,DB,
224DB1749,24/08/2018,OPERATIONS RESEARCH,3,SHARMA J K,IT,658.4034/SHA,,DB,
224DB1750,24/08/2018,FUNDAMENTALS OF COMPUTER ALGORITHMS,2,HOROWITZ ELLIS,IT,005.12/HOR,,DB,
224DB1751,24/08/2018,WHAT I DID NOT LEARD AT IIT,,AGARWAL RAJEEV,E &amp; TC,800/AGA,,DB,
224DB1752,24/08/2018,FUNDAMENTALS OF PYTHON,,LAMBERT KENNETH A,COMPUTER,005.133PYT/LOM,,DB,
224DB1753,24/08/2018,INTERNET OF THINGS,,SRINIVASA K G,COMPUTER,004.678/SRI,,DB,
224DB1754,24/08/2018,LAL FITITALE KAGADI GHODE ...,,NIKALJE TUSHAR NIVRUTTI,COMPUTER,800/NIK,,DB,
224DB1755,25/07/2019,YANTRIKACHI YATRA,,KIRLOSKAR S V,,,4,DB,
224DB1756,25/07/2019,MAN WHO MADE MACHINES,,KIRLOSKAR S V,,,4,DB,
224DB1757,25/07/2019,OBJECT-ORIENTED PROGRAMMING WITH C++,4,BALAGURUSAMY E,IT,005.12 BAL,4,DB,1
224DB1758,25/07/2019,ADVANCED 80386 PROGRAMMING TECHNIQUES,,TURLEY JAMES L,COMPUTER,005.265 TUR,2,DB,
224DB1759,25/07/2019,ILLUSTRATED OXFORD DICTIONARY,,DORLING KINDRSLEY LIMITED,,423 DOR,2,DB,
224DB1760,25/07/2019,LET US C,8th,KANETKAR  YASHAVANT,IT,005.133C/KAN,4,DB,
224DB1761,25/07/2019,INTRODUCTION TO ALGORITHMS,3,CORMEN THOMAS H,,005.12 COR/ LEI,4,DB,
224DB1762,25/07/2019,C++: THE COMPLETE REFERENCE,4th,SCHILDT HERBERT,IT,005.133C++ SCH,4,DB,
224DB1763,25/07/2019,C THE COMPLETE REFERENCE,4,SCHILDT HERBERT,,005.133C SCH,4,DB,
224DB1764,25/07/2019,JAVA,7,SCHILDT  HERBERT,E &amp; TC,005.133J SCH,4,DB,
224DB1765,25/07/2019,SOFTWARE DESIGN,2,BUDGEN DAVID,SOFTWARE DESIGN,005.3 BUD,2,DB,
224DB1766,25/07/2019,DIGITAL IMAGE PROCESSING,3,GONZALEZ RAFAEL C,ME-E&amp;TC,621.36722 GON,2,DB,
224DB1767,25/07/2019,TRANSFORM LIFE,,DESHMUKH VIJAY,,800 DES,2,DB,
224DB1768,25/07/2019,VERILOG HDL,,PALNITKAR SAMIR,,621.395 PAL,2,DB,
224DB1769,25/07/2019,OBJECT-ORIENTED PROGRAMMING WITH C++,3,BALAGURUSAMY E.,COMPUTER,005.12 BAL,4,DB,
224DB1770,25/07/2019,PROGRAMMING IN ANSI C,5,BALAGRUSAMY E ,COMPUTER,005.133C BAL,4,DB,
224DB1771,25/07/2019,PROGRAMMING IN ANSI C,6th,BALAGURUSAMY  E.,E &amp; TC,005.133C BAL,1,DB,
224DB1772,25/07/2019,NEW APPROACH TO REASONING VERBAL AND NON-VERBAL,,SIJWALI B S,,371.26/SIJ,1,DB,
224DB1773,25/07/2019,NETWORK MANAGEMENT,,SUBRAMANIAN MANI,,006.62/SUB,1,DB,
224DB1774,26/08/2019,GANDHI ATMA KATHEY ATHAVA NANNA SATHYANVESHANEY,,GANDHI MAHATMA,,800 GAN,2,DB,
224DB1775,04/10/2019,ABHIYANTRIKICHA SHIKSHAK KA AANI KASA?,,ABHYANKAR HEMANT,,800 ABH,1,DB,0
224DB1776,04/10/2019,ABHIYANTRIKICHA SHIKSHAK KA AANI KASA?,,ABHYANKAR HEMANT,,800 ABH,1,DB,0
224DB1777,05/10/2019,SYSTEMS PROGRAMMING AND  OPERATING SYSTEM,2,DHAMDHERE D M,COMPUTER,005.42 DHA,1,DB,
224DB1778,05/10/2019,SYSTEMS PROGRAMMING,,DONOVAN JOHN,IT,005.42/DON,2,DB,0
224DB1779,05/10/2019,PROGRAMMING WITH JAVA,3,BALAGURUSAMY E.  E,IT,005.133J BAL,1,DB,0
224DB1780,05/10/2019,DIGITAL SIGNAL PROCESSING,4,BABU RAMESH P,E &amp; TC,621.3822 BAB,2,DB,0
224DB1781,05/10/2019,CHAVANNI ZINDAGI ATHANNI KHWAHISHE,,PUROHITJEE,,800 PUR,2,DB,0
224DB1782,05/10/2019,OPERATIONS RESEARCH,2,HILLIER FREDERICK S,,658.4034 HIL,2,DB,0
224DB1783,05/10/2019,SOFT COMPUTING,,TRIPATHY B K,IT,005.1 TRI/ANU,1,DB,0
224DB1784,06/12/2019,SCIENTOLOGY : THE FUNDAMENTALS OF THOUGHT,2,HUBBARD L. RON,,800 HUB,,DB,0
224DB1785,06/12/2019,PROBLEMS OF WORK,2,HUBBARD L. RON,,800 HUB,,DB,0
224DB1786,06/12/2019,DIANETICS THE EVOLUTION OF A SCIENCE,5,HUBBARD L. RON,,800 HUB,,DB,
224DB1787,06/12/2019,DIANETICS THE ORIGINAL THESIS,,HUBBARD L. RON,,800 HUB,,DB,
224DB1788,06/12/2019,CACTUS AND ROSES,,KIRLOSKAR S. L.,,800 KIR,,DB,0
224DB1789,20/12/2019,MODERN APPROACH TO VERBAL AND NON VERBAL REASONING,4,AGGARWAL R. S.,,,,DB,
